Order ID,Customer ID,Product ID,Date_Key,Date,Shipping Time,Shipping Mode,Quantity,Revenue,Discount ,Profit
OD0089,C573,P0072,20180330,3/30/2018,7,Standard,3,326,30.00%,228
OD0090,C750,P0073,20180331,3/31/2018,2,Standard,2,456,30.00%,319
OD0091,C376,P0074,20180401,4/1/2018,2,Standard,2,675,35.00%,438
OD0092,C59,P0075,20180402,4/2/2018,0,Same Day,4,654,35.00%,425
OD0093,C931,P0076,20180403,4/3/2018,4,Standard,1,654,35.00%,425
OD0094,C343,P0077,20180404,4/4/2018,9,Standard,1,654,35.00%,425
OD0095,C993,P0077,20180405,4/5/2018,6,Standard,1,654,35.00%,425
OD0096,C855,P0077,20180406,4/6/2018,9,Standard,2,356,35.00%,231
OD0097,C561,P0077,20180407,4/7/2018,8,Standard,2,686,40.00%,411
OD0098,C159,P0077,20180408,4/8/2018,6,Standard,4,456,40.00%,273
OD0099,C269,P0078,20180409,4/9/2018,8,Standard,1,516,15.00%,438
OD0100,C781,P0079,20180410,4/10/2018,7,Standard,4,355,15.00%,301
OD0101,C382,P0080,20180411,4/11/2018,1,Prime,4,465,15.00%,395
OD0102,C975,P0081,20180412,4/12/2018,0,Same Day,4,965,35.00%,627
OD0103,C169,P0082,20180413,4/13/2018,6,Standard,3,1158,35.00%,752
OD0104,C99,P0083,20180414,4/14/2018,6,Standard,1,264,35.00%,171
OD0105,C904,P0084,20180415,4/15/2018,7,Standard,1,433,35.00%,281
OD0106,C566,P0085,20180416,4/16/2018,4,Standard,3,562,55.00%,252
OD0107,C469,P0086,20180417,4/17/2018,2,Standard,3,423,55.00%,190
OD0108,C139,P0087,20180418,4/18/2018,7,Standard,1,621,55.00%,279
OD0109,C293,P0088,20180419,4/19/2018,5,Standard,3,333,55.00%,149
OD0110,C943,P0089,20180420,4/20/2018,2,Standard,4,236,50.00%,118
OD0111,C119,P0090,20180421,4/21/2018,0,Same Day,2,456,50.00%,228
OD0112,C06,P0091,20180422,4/22/2018,2,Standard,4,963,50.00%,481
OD0113,C104,P0092,20180423,4/23/2018,4,Standard,1,234,50.00%,117
OD0114,C516,P0093,20180424,4/24/2018,2,Standard,3,456,50.00%,228
OD0115,C106,P0094,20180425,4/25/2018,0,Same Day,2,564,30.00%,394
OD0116,C50,P0094,20180426,4/26/2018,4,Standard,1,634,32.00%,431
OD0117,C242,P0094,20180427,4/27/2018,9,Standard,3,236,25.00%,177
OD0118,C213,P0095,20180428,4/28/2018,6,Standard,2,444,45.00%,244
OD0119,C336,P0096,20180429,4/29/2018,6,Standard,2,456,15.00%,387
OD0120,C388,P0097,20180430,4/30/2018,8,Standard,3,963,33.00%,645
OD0121,C192,P0098,20180501,5/1/2018,9,Standard,2,456,42.00%,264
OD0122,C225,P0099,20180502,5/2/2018,9,Standard,1,1189,42.00%,689
OD0123,C323,P0100,20180503,5/3/2018,2,Standard,3,1298,39.00%,791
OD0124,C212,P0101,20180504,5/4/2018,6,Standard,4,1456,39.00%,888
OD0125,C911,P0102,20180505,5/5/2018,0,Same Day,1,1478,39.00%,901
OD0126,C491,P0103,20180506,5/6/2018,3,Standard,1,256,39.00%,156
OD0127,C108,P0104,20180507,5/7/2018,3,Standard,3,2698,30.00%,1888
OD0128,C290,P0105,20180508,5/8/2018,4,Standard,3,2364,30.00%,1654
OD0129,C907,P0106,20180509,5/9/2018,6,Standard,2,1236,30.00%,865
OD0130,C62,P0107,20180510,5/10/2018,6,Standard,1,756,25.00%,567
OD0131,C156,P0108,20180511,5/11/2018,3,Standard,2,326,25.00%,244
OD0132,C107,P0108,20180512,5/12/2018,6,Standard,1,453,30.00%,317
OD0133,C427,P0108,20180513,5/13/2018,2,Standard,1,326,30.00%,228
OD0134,C179,P0108,20180514,5/14/2018,5,Standard,4,456,30.00%,319
OD0135,C751,P0108,20180515,5/15/2018,1,Prime,1,675,40.00%,405
OD0136,C94,P0109,20180516,5/16/2018,9,Standard,2,654,40.00%,392
OD0137,C904,P0110,20180517,5/17/2018,8,Standard,2,654,40.00%,392
OD0138,C498,P0111,20180518,5/18/2018,4,Standard,4,654,40.00%,392
OD0139,C322,P0112,20180519,5/19/2018,5,Standard,2,654,40.00%,392
OD0140,C822,P0113,20180520,5/20/2018,3,Standard,3,356,40.00%,213
OD0141,C778,P0113,20180521,5/21/2018,9,Standard,4,686,45.00%,377
OD0142,C49,P0113,20180522,5/22/2018,6,Standard,2,456,45.00%,250
OD0143,C851,P0114,20180523,5/23/2018,8,Standard,2,516,45.00%,283
OD0144,C148,P0115,20180524,5/24/2018,6,Standard,3,355,47.00%,188
OD0145,C385,P0116,20180525,5/25/2018,0,Same Day,4,465,47.00%,246
OD0146,C312,P0117,20180526,5/26/2018,0,Same Day,3,965,46.00%,521
OD0147,C854,P0118,20180527,5/27/2018,8,Standard,4,1158,46.00%,625
OD0148,C258,P0119,20180528,5/28/2018,8,Standard,4,264,46.00%,142
OD0149,C659,P0120,20180529,5/29/2018,3,Standard,1,433,30.00%,303
OD0150,C131,P0121,20180530,5/30/2018,8,Standard,2,562,30.00%,393
OD0151,C561,P0122,20180531,5/31/2018,2,Standard,2,423,30.00%,296
OD0152,C98,P0123,20180601,6/1/2018,6,Standard,1,621,30.00%,434
OD0153,C570,P0124,20180602,6/2/2018,5,Standard,3,333,30.00%,233
OD0154,C344,P0125,20180603,6/3/2018,7,Standard,1,236,35.00%,153
OD0155,C934,P0126,20180604,6/4/2018,8,Standard,2,456,35.00%,296
OD0156,C584,P0127,20180605,6/5/2018,4,Standard,2,963,35.00%,625
OD0157,C491,P0128,20180606,6/6/2018,0,Same Day,1,234,35.00%,152
OD0158,C425,P0129,20180607,6/7/2018,2,Standard,1,456,35.00%,296
OD0159,C342,P0130,20180608,6/8/2018,9,Standard,1,564,35.00%,366
OD0160,C664,P0131,20180609,6/9/2018,7,Standard,2,634,40.00%,380
OD0161,C930,P0132,20180610,6/10/2018,5,Standard,1,236,40.00%,141
OD0162,C339,P0133,20180611,6/11/2018,7,Standard,1,444,15.00%,377
OD0163,C760,P0134,20180612,6/12/2018,8,Standard,3,456,15.00%,387
OD0164,C766,P0135,20180613,6/13/2018,3,Standard,1,963,15.00%,818
OD0165,C36,P0136,20180614,6/14/2018,0,Same Day,2,456,35.00%,296
OD0166,C793,P0137,20180615,6/15/2018,0,Same Day,3,1189,35.00%,772
OD0167,C451,P0138,20180616,6/16/2018,9,Standard,4,1298,35.00%,843
OD0168,C720,P0138,20180617,6/17/2018,3,Standard,2,1456,35.00%,946
OD0169,C774,P0138,20180618,6/18/2018,6,Standard,2,1478,55.00%,665
OD0170,C582,P0139,20180619,6/19/2018,1,Prime,4,256,55.00%,115
OD0171,C92,P0140,20180620,6/20/2018,2,Standard,2,2698,55.00%,1214
OD0172,C310,P0141,20180621,6/21/2018,0,Same Day,4,2364,55.00%,1063
OD0173,C44,P0142,20180622,6/22/2018,4,Standard,4,1236,50.00%,618
OD0174,C358,P0143,20180623,6/23/2018,0,Same Day,2,756,50.00%,378
OD0175,C785,P0144,20180624,6/24/2018,7,Standard,1,326,50.00%,163
OD0176,C246,P0145,20180625,6/25/2018,0,Same Day,1,453,50.00%,226
OD0177,C519,P0146,20180626,6/26/2018,0,Same Day,4,326,50.00%,163
OD0178,C142,P0147,20180627,6/27/2018,1,Prime,3,456,30.00%,319
OD0179,C755,P0148,20180628,6/28/2018,1,Prime,4,456,32.00%,310
OD0180,C74,P0149,20180629,6/29/2018,5,Standard,4,456,25.00%,342
OD0181,C708,P0150,20180630,6/30/2018,6,Standard,4,456,45.00%,250
OD0182,C984,P0151,20180701,7/1/2018,4,Standard,1,236,15.00%,200
OD0183,C667,P0152,20180702,7/2/2018,0,Same Day,1,996,33.00%,667
OD0184,C947,P0153,20180703,7/3/2018,0,Same Day,1,654,42.00%,379
OD0185,C891,P0154,20180704,7/4/2018,2,Standard,4,456,42.00%,264
OD0186,C143,P0155,20180705,7/5/2018,1,Prime,3,785,39.00%,478
OD0187,C833,P0156,20180706,7/6/2018,4,Standard,1,365,39.00%,222
OD0188,C758,P0157,20180707,7/7/2018,9,Standard,2,965,39.00%,588
OD0189,C194,P0158,20180708,7/8/2018,5,Standard,2,444,39.00%,270
OD0190,C337,P0159,20180709,7/9/2018,6,Standard,2,569,30.00%,398
OD0191,C817,P0160,20180710,7/10/2018,3,Standard,4,475,30.00%,332
OD0192,C273,P0161,20180711,7/11/2018,6,Standard,2,598,30.00%,418
OD0193,C432,P0162,20180712,7/12/2018,7,Standard,4,536,25.00%,402
OD0194,C208,P0163,20180713,7/13/2018,0,Same Day,2,256,25.00%,192
OD0195,C34,P0164,20180714,7/14/2018,5,Standard,3,456,30.00%,319
OD0196,C952,P0165,20180715,7/15/2018,7,Standard,4,456,30.00%,319
OD0197,C703,P0166,20180716,7/16/2018,4,Standard,2,745,30.00%,521
OD0198,C816,P0167,20180717,7/17/2018,3,Standard,1,356,40.00%,213
OD0199,C195,P0168,20180718,7/18/2018,1,Prime,4,1189,40.00%,713
OD0200,C831,P0168,20180719,7/19/2018,5,Standard,1,426,40.00%,255
OD0201,C157,P0168,20180720,7/20/2018,5,Standard,1,1126,40.00%,675
OD0202,C845,P0168,20180721,7/21/2018,0,Same Day,1,1145,40.00%,687
OD0203,C534,P0169,20180722,7/22/2018,8,Standard,1,1235,40.00%,741
OD0204,C43,P0170,20180723,7/23/2018,5,Standard,2,1564,45.00%,860
OD0205,C46,P0171,20180724,7/24/2018,2,Standard,2,654,45.00%,359
OD0206,C607,P0172,20180725,7/25/2018,3,Standard,4,854,45.00%,469
OD0207,C163,P0173,20180726,7/26/2018,3,Standard,4,475,47.00%,251
OD0208,C467,P0174,20180727,7/27/2018,2,Standard,4,349,47.00%,184
OD0209,C915,P0175,20180728,7/28/2018,9,Standard,2,350,46.00%,189
OD0210,C913,P0176,20180729,7/29/2018,2,Standard,4,351,46.00%,189
OD0211,C626,P0177,20180730,7/30/2018,2,Standard,1,352,46.00%,190
OD0212,C473,P0178,20180731,7/31/2018,3,Standard,2,353,30.00%,247
OD0213,C456,P0179,20180801,8/1/2018,6,Standard,4,354,30.00%,247
OD0214,C189,P0180,20180802,8/2/2018,3,Standard,1,355,30.00%,248
OD0215,C745,P0181,20180803,8/3/2018,8,Standard,4,356,30.00%,249
OD0216,C696,P0182,20180804,8/4/2018,0,Same Day,3,999,30.00%,699
OD0217,C404,P0183,20180805,8/5/2018,7,Standard,4,555,35.00%,360
OD0218,C990,P0184,20180806,8/6/2018,6,Standard,3,555,35.00%,360
OD0219,C13,P0185,20180807,8/7/2018,1,Prime,4,555,35.00%,360
OD0220,C117,P0186,20180808,8/8/2018,7,Standard,4,555,35.00%,360
OD0221,C110,P0187,20180809,8/9/2018,0,Same Day,2,1025,35.00%,666
OD0222,C310,P0188,20180810,8/10/2018,8,Standard,2,1025,35.00%,666
OD0223,C682,P0188,20180811,8/11/2018,8,Standard,3,1025,40.00%,615
OD0224,C874,P0188,20180812,8/12/2018,1,Prime,2,555,40.00%,333
OD0225,C854,P0189,20180813,8/13/2018,6,Standard,1,599,15.00%,509
OD0226,C22,P0190,20180814,8/14/2018,9,Standard,1,555,15.00%,471
OD0227,C801,P0191,20180815,8/15/2018,2,Standard,3,555,15.00%,471
OD0228,C332,P0192,20180816,8/16/2018,6,Standard,1,2245,35.00%,1459
OD0229,C608,P0193,20180817,8/17/2018,9,Standard,1,2256,35.00%,1466
OD0230,C389,P0194,20180818,8/18/2018,8,Standard,4,2214,35.00%,1439
OD0231,C260,P0195,20180819,8/19/2018,3,Standard,2,2145,35.00%,1394
OD0232,C359,P0196,20180820,8/20/2018,0,Same Day,1,2325,55.00%,1046
OD0233,C369,P0197,20180821,8/21/2018,1,Prime,1,2256,55.00%,1015
OD0234,C295,P0198,20180822,8/22/2018,0,Same Day,2,1425,55.00%,641
OD0235,C155,P0199,20180823,8/23/2018,4,Standard,1,2236,55.00%,1006
OD0236,C275,P0200,20180824,8/24/2018,4,Standard,1,2525,50.00%,1262
OD0237,C996,P0201,20180825,8/25/2018,6,Standard,2,2145,50.00%,1072
OD0238,C912,P0202,20180826,8/26/2018,8,Standard,4,2365,50.00%,1182
OD0239,C919,P0203,20180827,8/27/2018,8,Standard,1,1245,50.00%,622
OD0240,C606,P0204,20180828,8/28/2018,2,Standard,2,3245,50.00%,1622
OD0241,C932,P0205,20180829,8/29/2018,2,Standard,1,1222,30.00%,855
OD0242,C816,P0206,20180830,8/30/2018,2,Standard,1,2451,32.00%,1666
OD0243,C969,P0207,20180831,8/31/2018,3,Standard,4,2256,25.00%,1692
OD0244,C32,P0208,20180901,9/1/2018,7,Standard,3,399,45.00%,219
OD0245,C695,P0209,20180902,9/2/2018,5,Standard,3,399,15.00%,339
OD0246,C396,P0210,20180903,9/3/2018,7,Standard,2,399,33.00%,267
OD0247,C836,P0211,20180904,9/4/2018,0,Same Day,3,399,42.00%,231
OD0248,C769,P0212,20180905,9/5/2018,7,Standard,2,555,42.00%,321
OD0249,C876,P0213,20180906,9/6/2018,3,Standard,3,555,39.00%,338
OD0250,C105,P0214,20180907,9/7/2018,0,Same Day,4,555,39.00%,338
OD0251,C591,P0214,20180908,9/8/2018,7,Standard,2,555,39.00%,338
OD0252,C953,P0214,20180909,9/9/2018,3,Standard,3,675,39.00%,411
OD0253,C148,P0214,20180910,9/10/2018,5,Standard,4,675,30.00%,472
OD0254,C154,P0214,20180911,9/11/2018,7,Standard,3,675,30.00%,472
OD0255,C786,P0215,20180912,9/12/2018,3,Standard,1,654,30.00%,457
OD0256,C397,P0216,20180913,9/13/2018,2,Standard,1,654,25.00%,490
OD0257,C262,P0217,20180914,9/14/2018,8,Standard,4,654,25.00%,490
OD0258,C698,P0218,20180915,9/15/2018,2,Standard,1,654,30.00%,457
OD0259,C605,P0219,20180916,9/16/2018,8,Standard,1,356,30.00%,249
OD0260,C619,P0220,20180917,9/17/2018,1,Prime,2,686,30.00%,480
OD0261,C80,P0221,20180918,9/18/2018,1,Prime,3,456,40.00%,273
OD0262,C375,P0222,20180919,9/19/2018,1,Prime,2,516,40.00%,309
OD0263,C30,P0223,20180920,9/20/2018,5,Standard,3,355,40.00%,213
OD0264,C89,P0224,20180921,9/21/2018,2,Standard,1,465,40.00%,279
OD0265,C655,P0225,20180922,9/22/2018,8,Standard,2,965,40.00%,579
OD0266,C723,P0226,20180923,9/23/2018,3,Standard,3,1158,40.00%,694
OD0267,C701,P0227,20180924,9/24/2018,0,Same Day,3,264,45.00%,145
OD0268,C06,P0228,20180925,9/25/2018,3,Standard,2,433,45.00%,238
OD0269,C598,P0229,20180926,9/26/2018,0,Same Day,4,562,45.00%,309
OD0270,C700,P0230,20180927,9/27/2018,4,Standard,3,423,47.00%,224
OD0271,C379,P0231,20180928,9/28/2018,3,Standard,1,621,47.00%,329
OD0272,C89,P0232,20180929,9/29/2018,7,Standard,3,333,46.00%,179
OD0273,C45,P0233,20180930,9/30/2018,7,Standard,1,236,46.00%,127
OD0274,C622,P0234,20181001,10/1/2018,6,Standard,2,456,46.00%,246
OD0275,C140,P0235,20181002,10/2/2018,2,Standard,3,963,30.00%,674
OD0276,C433,P0236,20181003,10/3/2018,0,Same Day,1,234,30.00%,163
OD0277,C411,P0237,20181004,10/4/2018,0,Same Day,1,456,30.00%,319
OD0278,C411,P0238,20181005,10/5/2018,2,Standard,2,564,30.00%,394
OD0279,C85,P0239,20181006,10/6/2018,5,Standard,3,634,30.00%,443
OD0280,C620,P0240,20181007,10/7/2018,6,Standard,3,236,35.00%,153
OD0281,C854,P0241,20181008,10/8/2018,5,Standard,2,444,35.00%,288
OD0282,C828,P0242,20181009,10/9/2018,5,Standard,3,456,35.00%,296
OD0283,C824,P0243,20181010,10/10/2018,5,Standard,2,963,35.00%,625
OD0284,C938,P0244,20181011,10/11/2018,2,Standard,3,456,35.00%,296
OD0285,C446,P0245,20181012,10/12/2018,5,Standard,4,1189,35.00%,772
OD0286,C947,P0245,20181013,10/13/2018,7,Standard,3,1298,40.00%,778
OD0287,C863,P0245,20181014,10/14/2018,1,Prime,1,1456,40.00%,873
OD0288,C732,P0246,20181015,10/15/2018,4,Standard,1,1478,15.00%,1256
OD0289,C707,P0247,20181016,10/16/2018,0,Same Day,4,256,15.00%,217
OD0290,C32,P0248,20181017,10/17/2018,0,Same Day,3,2698,15.00%,2293
OD0291,C124,P0249,20181018,10/18/2018,4,Standard,1,2364,35.00%,1536
OD0292,C814,P0250,20181019,10/19/2018,2,Standard,1,1236,35.00%,803
OD0293,C209,P0251,20181020,10/20/2018,3,Standard,3,756,35.00%,491
OD0294,C659,P0252,20181021,10/21/2018,2,Standard,2,326,35.00%,211
OD0295,C694,P0253,20181022,10/22/2018,0,Same Day,3,453,55.00%,203
OD0296,C628,P0254,20181023,10/23/2018,0,Same Day,2,326,55.00%,146
OD0297,C555,P0255,20181024,10/24/2018,4,Standard,4,456,55.00%,205
OD0298,C373,P0256,20181025,10/25/2018,5,Standard,4,675,55.00%,303
OD0299,C805,P0257,20181026,10/26/2018,2,Standard,1,654,50.00%,327
OD0300,C560,P0257,20181027,10/27/2018,8,Standard,1,654,50.00%,327
OD0301,C989,P0257,20181028,10/28/2018,4,Standard,1,654,50.00%,327
OD0302,C530,P0257,20181029,10/29/2018,7,Standard,2,654,50.00%,327
OD0303,C958,P0257,20181030,10/30/2018,0,Same Day,1,356,50.00%,178
OD0304,C112,P0257,20181031,10/31/2018,4,Standard,3,686,30.00%,480
OD0305,C458,P0258,20181101,11/1/2018,2,Standard,2,456,32.00%,310
OD0306,C296,P0259,20181102,11/2/2018,0,Same Day,4,516,25.00%,387
OD0307,C604,P0260,20181103,11/3/2018,3,Standard,2,355,45.00%,195
OD0308,C904,P0261,20181104,11/4/2018,4,Standard,1,465,15.00%,395
OD0309,C184,P0262,20181105,11/5/2018,6,Standard,3,965,33.00%,646
OD0310,C694,P0263,20181106,11/6/2018,0,Same Day,3,1158,42.00%,671
OD0311,C911,P0264,20181107,11/7/2018,2,Standard,1,264,42.00%,153
OD0312,C127,P0265,20181108,11/8/2018,1,Prime,3,433,39.00%,264
OD0313,C591,P0266,20181109,11/9/2018,8,Standard,2,562,39.00%,342
OD0314,C807,P0267,20181110,11/10/2018,9,Standard,2,423,39.00%,258
OD0315,C93,P0268,20181111,11/11/2018,5,Standard,1,621,39.00%,378
OD0316,C892,P0269,20181112,11/12/2018,9,Standard,3,333,30.00%,233
OD0317,C963,P0270,20181113,11/13/2018,2,Standard,4,236,30.00%,165
OD0318,C173,P0271,20181114,11/14/2018,7,Standard,2,456,30.00%,319
OD0319,C930,P0272,20181115,11/15/2018,7,Standard,2,963,25.00%,722
OD0320,C684,P0273,20181116,11/16/2018,1,Prime,2,234,25.00%,175
OD0321,C596,P0274,20181117,11/17/2018,5,Standard,2,456,30.00%,319
OD0322,C830,P0274,20181118,11/18/2018,6,Standard,4,564,30.00%,394
OD0323,C931,P0274,20181119,11/19/2018,1,Prime,1,634,30.00%,443
OD0324,C185,P0274,20181120,11/20/2018,9,Standard,2,236,40.00%,141
OD0325,C576,P0274,20181121,11/21/2018,1,Prime,3,444,40.00%,266
OD0326,C983,P0275,20181122,11/22/2018,9,Standard,4,456,40.00%,273
OD0327,C524,P0276,20181123,11/23/2018,0,Same Day,2,963,40.00%,577
OD0328,C447,P0277,20181124,11/24/2018,7,Standard,3,456,40.00%,273
OD0329,C475,P0278,20181125,11/25/2018,0,Same Day,2,1189,40.00%,713
OD0330,C791,P0279,20181126,11/26/2018,8,Standard,1,1298,45.00%,713
OD0331,C895,P0280,20181127,11/27/2018,5,Standard,4,1456,45.00%,800
OD0332,C205,P0281,20181128,11/28/2018,6,Standard,1,1478,45.00%,812
OD0333,C783,P0282,20181129,11/29/2018,9,Standard,4,256,47.00%,135
OD0334,C906,P0283,20181130,11/30/2018,6,Standard,2,2698,47.00%,1429
OD0335,C56,P0284,20181201,12/1/2018,9,Standard,2,2364,46.00%,1276
OD0336,C833,P0285,20181202,12/2/2018,2,Standard,4,1236,46.00%,667
OD0337,C483,P0286,20181203,12/3/2018,1,Prime,3,756,46.00%,408
OD0338,C384,P0287,20181204,12/4/2018,8,Standard,3,326,30.00%,228
OD0339,C651,P0288,20181205,12/5/2018,7,Standard,2,453,30.00%,317
OD0340,C57,P0289,20181206,12/6/2018,9,Standard,2,326,30.00%,228
OD0341,C786,P0290,20181207,12/7/2018,6,Standard,1,456,30.00%,319
OD0342,C995,P0291,20181208,12/8/2018,8,Standard,2,675,30.00%,472
